fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,author_date_unix_timestamp,commit_type,commit_id
False,1,1,1,0,202,0,0,1,0,0,0,0,0,True,1293840523,2,de15519d3f4043a084e55fd3da2f691e6c2bb394
False,1,2,2,0.784992089,28,19,103,1,-244.6407407,3,3.5,0.99693428,4,True,1293853015,2,438514e9c13d81525d3f54d567310e12e384fbbb
False,1,1,1,0,84,22,189,1,-244.6406134,4,7,0.995912371,7,True,1293857524,2,aa98712148ed3f4377246fd30eb6210d6a29f05d
True,1,1,1,0,8,7,251,1,2.775,5,8,1.36036036,8,True,1294097284,2,90b1fb080675f43c661919f21d03d49633ab5ca5
False,1,1,1,0,205,79,252,1,0.174444444,6,9,6.732484076,9,True,1294112356,2,b15e413f93c76c7a861708f06cec32d07153398f
False,1,1,1,0,0,34,378,1,0.001296296,7,10,772.4285714,10,False,1294112468,0,9fc4f1ba33e56aa22a8000de6838e7140ca1329e
False,1,1,1,0,0,19,344,1,0.002418981,8,11,414.3971292,11,False,1294112677,0,4cd616014cebe413c6802aeae1c55dc7bdc9c572
False,1,1,1,0,3,0,325,1,0.002152778,9,12,465.516129,12,True,1294112863,2,9be42e15139cac49ac568f8477c894e90d22bccd
False,1,1,1,0,84,22,189,1,-244.6406134,4,7,0.995912371,7,True,1294116724,3,
True,1,1,1,0,58,32,328,1,0.870115741,10,13,2.149272394,13,True,1294188041,2,891d938d9755d392bdbc5e090d1a1fc0b1fb22cc
False,1,1,1,0,0,4,354,1,0.005335648,11,14,188.4186551,14,False,1294188502,0,d4ac021e849ac3ecbc92bd2ae35248e24203e570
True,1,1,1,0,1,2,0,1,0,0,15,0,0,True,1294188634,1,915f49de82065a2db474893ca1c69d22a8490af7
True,2,2,4,1.566883817,32,2,0,1,0,0,17.5,0,2,True,1294192125,1,b090b380e90de35d6cf9e8769049261006e02c65
False,1,2,2,0.784992089,28,19,103,1,-244.6407407,3,3.5,0.99693428,4,True,1294198615,3,
False,1,1,1,0,205,79,252,1,0.174444444,6,9,6.732484076,9,True,1294198756,3,
True,1,1,1,0,41,33,350,1,0.139259259,12,20,8.180851064,17,True,1294200534,2,e6dc574255821d2a97c91426fafd42bababfbddd
False,1,1,1,0,0,2,358,1,0.015173611,13,21,66.90389016,18,False,1294201845,0,1aac18238ae45eb39232b257ceae9853b2ab4ceb
True,1,1,1,0,8,7,251,1,2.775,5,8,1.36036036,8,True,1294270084,3,
False,1,1,1,0,202,0,0,1,0,0,0,0,0,True,1294272523,3,
True,1,1,1,0,58,32,328,1,0.870115741,10,13,2.149272394,13,True,1294274441,3,
False,11,81,322,7.367100168,24930,23690,69.2826087,17,-82.93635726,1076,204.5,0.999644638,7,True,1294278144,3,
True,9,87,332,7.381995298,24408,24603,70.44277108,17,185.8929181,1126,404.5,1.000226057,17,True,1294297033,3,
True,1,5,7,1.778285279,463,101,278.1428571,15,2.738690476,84,271,0.947605536,267,True,1294304808,3,
False,1,2,2,0.948613198,44,54,107.5,1,244.6928009,5,5.5,1.003065068,6,True,1294344873,3,
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1294441271,0,344a405ba4152c828fdf8d4743ebd5b4d6498c75
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1294447449,0,d412088801179e43db2c2150c7f8f65bdd0a0dd0
False,1,1,1,0,204,0,0,1,0,0,22,0,19,True,1294447588,2,e14576cc83797aa1d9abb7851c9b633758edf4a5
True,1,1,2,0.249882293,17,7,280,1,1.668096065,15,23.5,1.311672247,21,True,1294468840,2,06a94e1ce9cb910cb229937321da85cdf5daed46
False,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1294469171,0,5b0c84f812912712d2086ca314a47bfc89af44f9
False,1,1,1,0,3,3,438,17,-330.4970949,45,410,0.996974255,156,False,1294883067,0,5b23b5ef6b3fd816150ef0499661a99748e0faad
False,11,81,322,7.367100168,24930,23690,69.2826087,17,-82.93635726,1076,204.5,0.999644638,7,True,1298425344,2,24b0207cbe60497a19e84947e008b9fbcf9ffce6
True,3,11,32,3.886037188,5182,5132,210.125,17,-39.13214482,33,381.5,0.998877577,55,True,1299733974,2,881a6850e4b4767cb1ed3dede740b178c37733e1
True,1,1,2,0.249882293,17,7,280,1,1.668096065,15,23.5,1.311672247,21,True,1299739240,3,
False,1,1,1,0,204,0,0,1,0,0,22,0,19,True,1299804388,3,
False,1,1,1,0,3,0,325,1,0.002152778,9,12,465.516129,12,True,1299815263,3,
True,1,1,1,0,41,33,350,1,0.139259259,12,20,8.180851064,17,True,1299816534,3,
False,1,2,2,0.0268586,331,412,0,1,0,0,0.5,0,1,True,1299821008,3,
False,3,14,29,4.154944576,276,253,374.8965517,17,222.1646065,29,206,1.000614899,7,True,1299821966,3,
False,3,5,10,2.575894947,429,605,375.8,15,6.815673611,61,19.5,1.047402706,1,True,1299823342,3,
False,1,4,4,0.490450485,210,113,373.5,14,1.434707755,22,12.5,3.689353451,14,True,1299824666,3,
True,1,2,3,0.627854815,97,21,469.3333333,15,1.412692901,41,42,1.394580099,37,True,1299825380,3,
True,1,1,1,0,29,24,971,15,0.61619213,2,41,2.622870452,41,True,1299826442,3,
False,1,3,7,2.06798946,261,86,421,15,3.015595238,51,37,1.366644113,34,True,1299826930,3,
False,1,2,6,2.164944534,2152,0,-13.5,2,-5.437081404,2,7.5,0.161557717,10,True,1299828224,3,
False,1,1,1,0,117,0,1069,15,3.318055556,10,46,1.301381331,40,True,1299828834,3,
True,2,6,25,4.115699469,484,311,71.56,11,1.728553704,34,82,1.116969985,87,True,1299837594,3,
False,3,6,6,2.405639062,7,9,438.6666667,15,10.82981481,97,304.5,1.125987478,50,True,1299838855,3,
False,1,4,4,1.101809294,269,165,203.25,15,1.622731481,31,231.5,1.351916942,226,True,1299839688,3,
False,1,1,1,0,2,2,168,15,0.3684375,2,25,3.714164546,22,True,1299855175,3,
False,1,3,5,1.844508841,293,2,213.6,15,1.274622685,16,38,1.377380476,40,True,1299859603,3,
False,1,1,3,0.430746087,208,121,302.3333333,14,2.215081019,15,29,1.300396296,30,True,1299862318,3,
True,1,3,5,1.551307655,1158,11,147,15,7.975729167,18,44,1.260668053,46,True,1299863140,3,
False,1,4,6,2.276735617,33,16,146.1666667,15,2.99794946,50,15.5,1.154508687,18,True,1299863633,3,
False,1,2,2,0.973156035,28,24,101,1,122.392662,1,1.5,0.502042606,2,True,1299869975,3,
False,1,5,5,2.321928095,90,0,0,1,3.78212963,5,51,1.052917325,53,True,1299870241,3,
False,4,6,21,3.617697539,2550,8,1.238095238,14,11.70006614,21,17,0.400328474,2,True,1299871592,3,
False,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1299871663,3,
True,2,2,11,2.19439949,34,375,196.0909091,15,4.326128998,41,89,1.051729192,28,True,1299871820,3,
True,1,4,4,1.404698522,59,42,451.75,14,1.615318287,24,142.5,1.304191996,137,True,1299872024,3,
True,1,2,2,0.468995594,19,1,203,15,1.001359954,14,23.5,2.290072785,24,True,1299872043,3,
False,1,1,1,0,4,4,1042,15,0.394988426,8,44,3.531719753,38,True,1299872982,3,
False,1,2,3,1.5,4,4,205,15,2.043545525,25,26,31.14012467,27,True,1299873002,3,
