fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,author_date_unix_timestamp,commit_type,commit_id
False,2,79,976,8.937691918,264772,0,0,1,0,0,487.5,0,974,False,1143467626,0,a84fabcbc6fee8a69253ad92a304b4718e96a7c9
False,1,1,1,0,2,1,190,1,0.248287037,1,976,5.027596494,975,False,1143489078,0,fb19455f8b58952ad06ed92e3352f1631f812548
False,1,2,18,3.816619877,9872,0,0,1,0,0,8.5,0,17,False,1143528058,0,6731a27a555f74e302286f62705f1fe514155e03
False,1,1,2,0.950956048,27,0,0,1,0,0,18.5,0,1,False,1143528343,0,b5708bd64206dc31a6b44bcd2cdedf14f8a04e32
False,1,1,1,0,1025,0,0,1,0,0,20,0,18,False,1143528575,0,b0d89af95649ac5c469d5c8f73374693b78ad268
False,1,1,1,0,137,1,29,1,1.100092593,1,977,1.909014393,1,False,1143562674,0,6d48eebb39ff3e577af77cb67459d9d3ee27738c
True,1,1,1,0,21,2,165,1,0.024618056,2,21,41.62059238,2,False,1143564801,0,f65f474b1ac2465af2424155750bf7fd944cb106
True,3,4,6,0.313322643,1140,0,0,1,0,0,24.5,0,1,False,1143564900,0,205db71fa2d906b0c3ab315c7baf7444d8256876
False,2,2,6,1.868394259,657,24,30.66666667,1,0.146379244,3,980.5,0.712864981,6,False,1143640684,0,9dd26271184af6eb2ebe85852e25d7e14aac746e
False,1,1,2,0.789271272,0,93,48.5,1,0.001354167,2,984.5,554.8461538,8,False,1143640801,0,ffda5ac7a61f60099b0d2917e2f3e76a37b74752
True,3,3,3,0.510659143,17,98,178.3333333,1,0.696689815,6,987,12.80446844,1,False,1143643192,0,d3db3d941f5b2dab145d20bd2d7cd8eba33e07af
False,3,18,76,4.449497259,7724,259,430.0526316,1,1.473504203,53,1026.5,1.068154828,2,True, 1143680122,2,550f6379d2e184ba218895d6d8c6760c61805214
False,1,1,1,0,4,1,1083,1,0.378877315,1,1065,3.639376814,1050,False,1143712857,0,e9ac952390cb23116502c6621f776f1304d2dbdd
True,1,1,1,0,9,10,10,1,2.279351852,1,1066,1.438721209,12,False,1143725279,0,c028cc5dde748073b6a01990b7c4ef02c6832682
False,1,1,1,0,1,1,9,1,0.002835648,2,1067,353.6530612,13,False,1143725524,0,28cdfe1049ed847fca1d4e3a04f5afe92f62646f
False,1,1,1,0,128,121,228,1,0.592465278,1,1068,2.687862627,1051,False,1143731311,0,d9c6580fca2a3554a66b5c2904d8f8513eac1a50
False,1,1,1,0,6,6,1086,1,0.214768519,2,1069,5.6561759,1052,False,1143731413,0,3d855ace74a03dca765fe04427ca9c1fb04c7a2c
True,1,1,1,0,5,1,2523,1,3.158020833,1,1070,1.316654022,1053,False,1143740479,0,ff8fd053b613adcfbfe4bea5d5cd37fb80091594
False,1,1,1,0,1,0,254,1,0.69912037,6,1071,2.43036885,14,False,1143740526,0,ff8fd053b613adcfbfe4bea5d5cd37fb80091594
False,1,1,1,0,3,1,643,1,7.421377315,1,1072,1.134745878,1054,False,1144108833,0,f1e7d1820b043e581826b98cab62c9082c088086
False,1,1,2,0.738284866,20,4,2038,1,5.843269676,3,1073.5,1.160037924,1056,False,1144108911,0,1c83d3ad6a5bcad785f3a56cb1dc80a1a9d30cee
False,1,2,2,0.886540893,21,2,276.5,1,7.423240741,2,1075.5,1.10103404,1058,True, 1144108994,2,073e6b9b76c1c668023a9a350b1230eedec1bf38
False,1,1,1,0,10,0,430,1,7.423657407,1,1077,1.134704492,1059,False,1144109030,0,073e6b9b76c1c668023a9a350b1230eedec1bf38
False,1,1,1,0,1,1,619,1,8.143009259,1,1078,1.122804723,1060,False,1144171182,0,4107ef876baf8f0087507f812fca461df3afc238
True,1,5,6,1.958948385,265,38,1386.166667,1,5.477056327,9,1081.5,1.071019567,1066,False,1144190049,0,c38b7baaa710a7c876aef47a27b97614ad9efe60
False,1,2,2,0.886540893,21,2,276.5,1,7.423240741,2,1075.5,1.10103404,1058,True,1144195394,3,
False,1,2,10,3.310732926,319,0,0,1,0,0,1089.5,0,1076,True, 1144332585,2,2271a3a2f3a3a2b7a3ccf11e99522f16d5e2859c
False,1,2,3,1.198632032,348,1,488,1,3.888861883,3,1096,0.728525087,1079,False,1144332834,0,4e45752f90afa7adf438a4bef8c894eb5a19989d
False,1,1,1,0,11,0,255,1,6.866064815,7,1098,1.145643833,15,False,1144333754,0,dc178941d357dbddfda3a4cbb177d594e5922c80
False,1,1,1,0,1,0,40,1,0.399201389,1,1099,3.505001305,1080,False,1144367076,0,04588ed637780b3e65803aab21538f59decc55bb
False,1,1,2,0.313026992,389,1,674.5,1,5.206012731,1,1100.5,1.096042792,1082,True, 1144367225,2,10c7942700b1c57f79dbf482a3717f656ecba8a4
False,1,1,1,0,1,1,41,1,1.019444444,2,1102,1.980926431,1083,False,1144455156,0,efc3fe0900a3f0d2322b3e24abb398cb00d5f04c
False,1,2,5,1.748505841,345,34,1733,1,7.835270833,8,1105,1.040887524,1088,True, 1144600689,2,4d00c5deebe9193ce7af121dd2f232431353a0e1
False,1,1,1,0,13,3,266,1,3.463252315,8,0,0,0,False,1144632979,0,92991952976ba86cfd06ece3c2a440d7c886beaf
False,1,1,1,0,2,0,276,1,0.017349537,9,1,58.63842562,1,False,1144634478,0,0aabe84a1101a11f284d35d7253210a32f053982
False,1,2,3,1.413419523,30,21,2255.666667,1,1.956886574,8,1109,1.312287446,1091,False,1144769764,0,ad2406feae7edbff5588f1032ef186816fb77da8
False,1,1,2,0.875880803,776,665,332.5,1,15.87563657,2,1111.5,1.0472422,1093,True, 1144839281,1,f6e85aeecbbe539f8cd099315ba645c411a9eb6a
False,1,7,26,3.491611647,521,208,60.30769231,2,2.826927528,13,1125.5,0.951103979,1119,True, 1144847899,2,d4ccf0fc345232b7aede445d532da176688b9963
False,1,2,2,0.359101626,30,14,286.5,1,3.243373843,3,1139.5,1.166800415,1121,True, 1144848722,2,eed3e554ffa41c5918faa1ecac3e1627b5a61022
False,1,1,2,0.309543429,8,28,143.5,2,7.741388889,13,1141.5,1.070750931,17,False,1144848857,0,ec3d8efe304c05593295791213029a23454337ed
False,1,1,2,0.486205718,197,21,148.5,2,6.865885417,13,1143.5,1.073097315,19,False,1144857702,0,2132ede3794719de3d00cc8cd20e0abbec2f1428
False,1,1,1,0,46,39,2207,1,16.89212963,1,1145,1.059199167,1122,False,1144927106,0,e7f8e0684f451d3f89c6e154d892761191b67509
False,1,1,1,0,2,1,430,1,17.00024306,1,1146,1.058822688,1123,False,1144936447,0,1146103c385656e64ff4f22941c34e6c0011b9c3
False,1,1,1,0,4,0,431,1,0.001886574,2,1147,531.0613497,1124,False,1144936610,0,a6bec0e60d9d34c5f325d0664fdfee8de070dd9f
False,1,5,5,2.077050957,17,26,999,1,17.33181713,5,1150,1.026348459,1129,False,1144965095,0,a072883bc59691a1efd78e9863bb7ef9b90b81e9
False,1,4,4,1.549338086,52,41,1776.25,1,13.9841985,5,1154.5,1.037714902,1133,True, 1145050228,2,e029bbae4da36ed24c22f051493933158f19fe6d
True,1,1,1,0,1,1,415,2,5.420636574,12,2,1.184480178,2,False,1145326045,0,da2d6a696d37f19d2b79739f5dd74bfe1db246dd
False,1,1,1,0,1,1,415,2,0.548009259,13,3,2.824786686,3,False,1145373393,0,36e10013eb67a6c480596aa87e86d2d2d61882e7
False,1,2,2,0.440694239,244,8,112,1,3.527476852,3,1157.5,1.141744375,1135,True, 1145458270,2,9ccc29c51c2ee50ae784d4d0329172e638a9f7a7
False,1,1,1,0,75,0,0,1,0,0,1159,0,1136,False,1145459933,0,093796afbdf5ceae4343d2ff084517472c983901
True,1,1,1,0,5,1,326,1,23.95322917,1,1160,1.041748025,1137,False,1145537185,0,4cbc1b5abba628b155876d08bfad6c7775c77bb2
False,1,1,1,0,1,10,2214,1,7.446608796,2,1161,1.134289316,1138,False,1145570493,0,1b6fc179b8f76d504d5d54311dd9aceafe311bce
False,1,7,24,3.766813507,486,1418,574.6666667,1,23.3300815,35,1173.5,1.008588061,1162,True, 1145617445,2,5959268bd56da00377468dd5332042e14b7c6bce
False,1,1,1,0,694,0,0,1,0,0,1186,0,1163,True, 1145630366,1,2b1b754b251e0e14b57d33a3e9a2c1c0972a9795
False,1,2,3,1.045471541,145,24,790.6666667,1,18.0902392,3,1188,1.030726655,1166,True, 1145751536,1,060c4e45c290b5f920cd2dc958f9d1750096e137
True,1,1,1,0,1,0,58,2,11.23009259,3,1190,1.089046461,20,False,1145827982,0,533332d7494b3be48c516d10c92b0c7353cc63e3
False,1,1,1,0,0,1,1253,1,24.86013889,2,1191,1.040225037,1167,False,1145828038,0,533332d7494b3be48c516d10c92b0c7353cc63e3
False,1,1,2,0.912734156,38,23,1234,1,0.887916667,4,1192.5,1.844673862,1169,True, 1145828252,1,b7bd756e058fef661088498e89b472f54907f9d3
False,1,1,1,0,2,7,671,1,2.564895833,2,4,1.389879381,0,False,1145839052,0,e604ae1ae35a873050a8cc4ebe4f3b4d00630715
False,1,1,3,1.214662317,587,877,885.3333333,1,27.24886574,4,1195,1.02189109,1172,False,1145892760,0,3a5b29cbef413b03f277393c76ee3dfefdb7603f
True,1,1,1,0,1,1,1697,1,11.36140046,3,0,0,0,False,1146031853,0,ee8c92e62c8a0cae8e3090aa2ab23c69612a17da
False,1,4,4,1.549338086,52,41,1776.25,1,13.9841985,5,1154.5,1.037714902,1133,True,1146087028,3,
False,1,1,3,0.895709184,1096,179,560.6666667,2,15.09783565,3,1198,1.025725463,1175,False,1146144658,0,64afe2cd01e39ef2937f3553f99bab27ff41499a
False,1,1,4,1.736816248,0,2049,512.25,1,30.2850897,4,1201.5,1.017196934,1179,False,1146144819,0,675917dfc1eab89fa3852ace05819dbc940fb4b0
False,1,1,2,0.339209775,380,1,386,1,2.323043981,3,1204.5,0.60761742,1181,False,1146229674,0,f625d7ccb9051c2533a29ba99e61f9cc76b4fe47
False,1,1,3,1.343788454,17,18,1024,1,12.44385417,7,1207,1.030194883,1184,False,1146230363,0,8c3e00a6942d97924d246510fd003db81e9056e7
False,1,1,3,0.921927785,1672,0,172.3333333,1,9.839529321,2,1210,1.033876959,1187,True, 1146230528,1,6236c1dc82b390b7fbff38e3e54c9d77d03acff0
False,1,3,6,2.441166544,2,40,1399.666667,1,11.89637924,13,1214.5,1.019974161,1193,False,1146270192,0,514cd30b4b6bf37bd6897d9a01068e6b971ddeea
False,1,1,1,0,2,2,95,1,36.6858912,1,1218,1.027258436,1194,False,1146637287,0,f22d65a36dedc087c1c502228a3ca9f185c10958
False,1,1,2,0.168660931,78,42,931.5,1,11.82252894,3,1219.5,0.521146068,1196,False,1146643622,0,4c7d6f18c4d56ca4ca2dae4f1b57caa2d4cfb19c
False,1,2,3,0.976542984,100,77,1489.333333,1,23.01811343,4,1222,1.033193903,1199,True, 1146647473,1,618c4d9614fe0fb592aa63f283e25c666226ddef
True,1,1,1,0,43,4,4087,1,0.34900463,4,5,3.865291504,1,True, 1146718149,2,a955206bfec222de6cd8c537d303a879dd267425
False,1,1,2,0.970950594,5,5,237,2,13.34346644,18,1225.5,1.065409148,22,False,1146753563,0,b7e3ab9d31007f55ea0dfcdd3fe53d33b822d3b2
True,1,1,1,0,14,24,4126,1,1.375925926,5,1227,1.726783311,1201,False,1146837029,0,ca0c56bd6a36c8b4de379c0cfe21a458f5027117
True,1,1,1,0,43,4,4087,1,0.34900463,4,5,3.865291504,1,True,1146890949,3,
False,1,1,1,0,8,0,5539,1,18.12356481,6,1228,1.055176783,1202,False,1147183321,0,7fc9baa3c70901bba0c0281a5e91240dd9a8035d
False,1,3,5,1.816024549,104,46,1307.4,1,27.8477662,11,1231,1.011465282,1207,False,1147183523,0,dcb32b15f1b762fcf067dc5332d7b7daca92e2f0
False,1,1,1,0,4,2,1710,1,17.28581019,4,0,0,0,False,1147763686,0,356ca346688be0c7fc8db1b98588649559f6251e
False,1,1,1,0,5,3,1712,1,0.971469907,5,1,2.029367963,1,False,1147847621,0,044183003d32599bd56f5581bb3a98a709e83b0c
