"project","K","TP","TN","FP","FN","Prec","Recall1","Recall0","F1","Gmean","Acc","time","index","query"
"neutron",3,219,527,387,64,0.361386138613861,0.773851590106007,0.576586433260394,0.492688413948256,0.667976293151267,0.623224728487886,2411.54804253578,"camel","boolean"
"neutron",11,192,606,308,91,0.384,0.678445229681979,0.663019693654267,0.490421455938697,0.670688115553678,0.666666666666667,2526.72783136368,"camel","boolean"
"BroadleafCommerce",3,100,705,303,91,0.248138957816377,0.523560209424084,0.699404761904762,0.336700336700337,0.605128501737489,0.67139282735613,3963.9077732563,"camel","boolean"
"BroadleafCommerce",11,97,741,267,94,0.266483516483516,0.507853403141361,0.735119047619048,0.34954954954955,0.611009582615011,0.698915763135947,3188.10464882851,"camel","boolean"
"nova",3,74,799,140,94,0.345794392523364,0.440476190476191,0.850905218317359,0.387434554973822,0.61221196412741,0.788617886178862,10934.2758431435,"camel","boolean"
"nova",11,12,928,11,156,0.521739130434783,0.071428571428572,0.98828541001065,0.12565445026178,0.265691202339785,0.849141824751581,9779.64629602432,"camel","boolean"
"spring-integration",3,68,646,201,61,0.252788104089219,0.527131782945737,0.762691853600945,0.341708542713568,0.634065546002032,0.73155737704918,608.273426771164,"camel","boolean"
"spring-integration",11,64,686,161,65,0.284444444444444,0.496124031007752,0.809917355371901,0.361581920903955,0.633892311934957,0.76844262295082,581.188621520996,"camel","boolean"
"fabric8",3,89,733,118,71,0.429951690821256,0.55625,0.861339600470035,0.485013623978202,0.692185056730826,0.813056379821958,838.165824651718,"camel","boolean"
"fabric8",11,78,750,101,82,0.435754189944134,0.4875,0.881316098707403,0.460176991150443,0.655470516590837,0.818991097922849,808.113649129868,"camel","boolean"
"tomcat",3,315,423,424,36,0.426251691474966,0.897435897435897,0.499409681227863,0.577981651376147,0.66946857690328,0.616026711185309,1524.23475074768,"camel","bool"
"tomcat",11,322,384,463,29,0.410191082802548,0.917378917378917,0.453364817001181,0.566901408450704,0.644908772616898,0.589315525876461,2019.42426347733,"camel","bool"
"JGroups",3,124,673,410,87,0.232209737827715,0.587677725118483,0.621421975992613,0.332885906040268,0.604314366195254,0.615919629057187,567.488534450531,"camel","bool"
"JGroups",11,116,732,351,95,0.248394004282655,0.549763033175355,0.67590027700831,0.342182890855457,0.609577711544764,0.655332302936631,757.601468086243,"camel","bool"
