"project","K","TP","TN","FP","FN","Prec","Recall1","Recall0","F1","Gmean","Acc","time","index","query"
"neutron",3,221,530,384,62,0.365289256198347,0.780918727915194,0.579868708971554,0.497747747747748,0.672926693309079,0.627401837928154,2848.55347824097,"shingle","bool"
"neutron",11,191,600,314,92,0.378217821782178,0.674911660777385,0.656455142231947,0.484771573604061,0.665619433512588,0.660818713450292,3483.92907857895,"shingle","bool"
"BroadleafCommerce",3,90,724,284,101,0.240641711229946,0.471204188481675,0.718253968253968,0.31858407079646,0.581759639571923,0.678899082568807,4024.03477549553,"shingle","bool"
"BroadleafCommerce",11,91,783,225,100,0.287974683544304,0.476439790575916,0.776785714285714,0.358974358974359,0.608351562040116,0.728940783986656,4258.40784573555,"shingle","bool"
"nova",3,70,798,141,98,0.33175355450237,0.416666666666667,0.849840255591054,0.369393139841689,0.595063111355655,0.784101174345077,10201.147507906,"shingle","bool"
"nova",11,40,861,78,128,0.338983050847458,0.238095238095238,0.916932907348243,0.27972027972028,0.467244431633421,0.813911472448058,11240.3770895004,,
"spring-integration",3,68,657,190,61,0.263565891472868,0.527131782945737,0.775678866587958,0.351421188630491,0.639441149706396,0.742827868852459,675.508708238602,,
"spring-integration",11,63,694,153,66,0.291666666666667,0.488372093023256,0.819362455726092,0.365217391304348,0.632577076290017,0.775614754098361,556.11905837059,,
"JGroups",3,124,697,386,87,0.243137254901961,0.587677725118483,0.643582640812558,0.343966712898752,0.614995270126909,0.634466769706337,611.160370826721,,
"JGroups",11,117,744,339,94,0.256578947368421,0.554502369668246,0.686980609418283,0.350824587706147,0.617197193641201,0.665378670788254,546.12099146843,,
"tomcat",3,308,436,411,43,0.428372739916551,0.877492877492877,0.514757969303424,0.575700934579439,0.672083664208893,0.621035058430718,2188.88908648491,,
"tomcat",11,322,399,448,29,0.418181818181818,0.917378917378917,0.471074380165289,0.574487065120428,0.657383985872015,0.601836393989983,2005.76760625839,,
"fabric8",3,92,770,81,68,0.531791907514451,0.575,0.9048178613396,0.552552552552552,0.72129762946392,0.852621167161226,1573.95730805397,,
"fabric8",11,66,798,53,94,0.554621848739496,0.4125,0.937720329024677,0.473118279569893,0.621940218769199,0.85459940652819,1100.9278895855,,
