commit_id,line,line_level_label,count,line_score,row
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"@AdminPresentation(friendlyName = ""AdminUserImpl_Admin_Email_Address"", order = 3000, group = AdminUserAdminPresentation.GroupName.User, defaultValue = ""my-email@website.com"")",0,8,1.0,1
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"@AdminPresentation(friendlyName = ""AdminUserImpl_Admin_Email_Address"", order = 3000, group = AdminUserAdminPresentation.GroupName.User, defaultValue = """")",1,8,1.0,2
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"@AdminPresentation(friendlyName = ""AdminUserImpl_Admin_Email_Address"", order = 3000, group = AdminUserAdminPresentation.GroupName.User)",1,7,0.875,3
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"@AdminPresentation(friendlyName = ""AdminUserImpl_Phone_Number"", order = 5000, group = AdminUserAdminPresentation.GroupName.User)",1,7,0.875,4
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = GroupName.PermissionsAndRoles, operationTypes = @AdminPresentationOperationTypes(removeType = OperationType.NONDESTRUCTIVEREMOVE))",1,7,0.875,5
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,public static final int NAME = 1000;,0,6,0.75,6
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,public static final int ACTIVE_STATUS_FLAG = 1000;,0,6,0.75,7
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,public static final int ROLES = 1000;,0,6,0.75,8
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,public static final int RolesAndPermissions = 1000;,0,6,0.75,9
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = AdminUserAdminPresentation.GroupName.User, prominent = true, defaultValue = ""New Admin User"")",0,6,0.75,10
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,public static final int PERMISSIONS = 2000;,0,5,0.625,11
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"public static final String General = ""General_Tab"";",1,5,0.625,12
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"public static final String General = ""General"";",0,5,0.625,13
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"@AdminPresentation(friendlyName = ""AdminUserImpl_Admin_Login"", gridOrder = 2000, order = 2000,",1,5,0.625,14
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = AdminUserAdminPresentation.GroupName.User, prominent = true, defaultValue = """")",1,5,0.625,15
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"@AdminPresentation(friendlyName = ""AdminUserImpl_Admin_Name"", gridOrder = 1000, order = 1000,",1,5,0.625,16
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,operationTypes = @AdminPresentationOperationTypes(removeType = OperationType.NONDESTRUCTIVEREMOVE)),0,5,0.625,17
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,public static final int PermissionsAndRoles = 2000;,1,5,0.625,18
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,public static final int PASSWORD = 5000;,0,5,0.625,19
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,public static final int PHONE_NUMBER = 4000;,0,5,0.625,20
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,public static final int EMAIL = 3000;,0,5,0.625,21
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,public static final int LOGIN = 2000;,0,5,0.625,22
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,public static final int Miscellaneous = 2000;,0,5,0.625,23
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,public static final int AdditionalFields = 2000;,0,5,0.625,24
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = AdminUserAdminPresentation.GroupName.User, prominent = true)",1,5,0.625,25
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = AdminUserAdminPresentation.GroupName.User, prominent = true, defaultValue = ""My Name"")",0,5,0.625,26
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = GroupName.User, order = FieldOrder.PASSWORD,",0,4,0.5,27
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"order = 4000, group = AdminUserAdminPresentation.GroupName.User,",1,4,0.5,28
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = AdminUserAdminPresentation.GroupName.User, order = 6000,",1,4,0.5,29
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = GroupName.RolesAndPermissions, order = FieldOrder.PERMISSIONS,",0,4,0.5,30
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = GroupName.RolesAndPermissions, order = FieldOrder.ROLES,",0,4,0.5,31
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = GroupName.Miscellaneous, order = FieldOrder.ACTIVE_STATUS_FLAG,",0,4,0.5,32
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = GroupName.User, order = FieldOrder.PHONE_NUMBER)",0,4,0.5,33
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = GroupName.User, order = FieldOrder.EMAIL)",0,4,0.5,34
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = AdminUserAdminPresentation.GroupName.User, order = 6000,",0,4,0.5,35
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = GroupName.User, order = FieldOrder.LOGIN,",0,4,0.5,36
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"public static final String PermissionsAndRoles = ""AdminUserImpl_PermissionsAndRoles"";",1,4,0.5,37
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,public static class FieldOrder {,0,4,0.5,38
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"public static final String Miscellaneous = ""AdminUserImpl_Miscellaneous"";",0,4,0.5,39
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"public static final String RolesAndPermissions = ""AdminUserImpl_RolesAndPermissions"";",0,4,0.5,40
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"public static final String AdditionalFields = ""AdminUserImpl_AdditionalFields"";",0,4,0.5,41
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = GroupName.User, order = FieldOrder.NAME,",0,4,0.5,42
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"prominent = true, gridOrder = 2000)",0,3,0.375,43
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"@AdminPresentation(friendlyName = ""AdminUserImpl_Phone_Number"",",0,3,0.375,44
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"@AdminPresentation(friendlyName = ""AdminUserImpl_Admin_Email_Address"",",0,3,0.375,45
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"prominent = true, gridOrder = 1000)",0,3,0.375,46
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"column = 1, untitled = true)",0,3,0.375,47
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"friendlyName = ""AdminUserImpl_Admin_Password"", order = 6000,",1,3,0.375,48
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = GroupName.PermissionsAndRoles,",1,2,0.25,49
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"friendlyName = ""roleListTitle"", manyToField = ""allUsers"",",1,2,0.25,50
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"@AdminPresentationCollection(addType = AddMethodType.SELECTIZE_LOOKUP, selectizeVisibleField = ""description"",",1,2,0.25,51
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"group = GroupName.AdditionalFields,",0,2,0.25,52
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"addType = AddMethodType.SELECTIZE_LOOKUP, selectizeVisibleField = ""description"",",0,2,0.25,53
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"@AdminPresentation(friendlyName = ""AdminUserImpl_Admin_Login"",",0,2,0.25,54
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"@AdminPresentation(friendlyName = ""AdminUserImpl_Admin_Name"",",0,2,0.25,55
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"order = AdminUserAdminPresentation.GroupOrder.Miscellaneous,",0,2,0.25,56
3e1d2e3c2b9043954ccdfd1baa15e2b97b4c5fa1,"order = AdminUserAdminPresentation.GroupOrder.RolesAndPermissions,",0,2,0.25,57
