commit_id,line,line_level_label,count,line_score,row
87724435378bc5e35dccd647246890c68460d249,} catch (Throwable e) {,0,2,1.0,1
87724435378bc5e35dccd647246890c68460d249,"getLog().warn(""failed to find git commit id. "" + e, e);",1,2,1.0,2
87724435378bc5e35dccd647246890c68460d249,"getLog().warn(""Could not find .git folder based on the current basedir of "" + basedir);",1,2,1.0,3
87724435378bc5e35dccd647246890c68460d249,"warnIfInCDBuild(""Could not find .git folder based on the current basedir of "" + basedir);",0,2,1.0,4
87724435378bc5e35dccd647246890c68460d249,} catch (Exception e) {,0,2,1.0,5
87724435378bc5e35dccd647246890c68460d249,if (connectError) {,0,2,1.0,6
87724435378bc5e35dccd647246890c68460d249,"getLog().warn(""Failed to find git commit id. "" + e, e);",0,2,1.0,7
87724435378bc5e35dccd647246890c68460d249,} catch (Exception e) {,1,2,1.0,8
87724435378bc5e35dccd647246890c68460d249,} else {,0,2,1.0,9
87724435378bc5e35dccd647246890c68460d249,"getLog().warn(""Cannot connect to Kubernetes to find jenkins service URL: "" + cause.getMessage());",0,1,0.5,10
87724435378bc5e35dccd647246890c68460d249,"getLog().warn(""Failed to initialise Git Repository: "" + e, e);",1,1,0.5,11
87724435378bc5e35dccd647246890c68460d249,"warnIfInCDBuild(""Failed to initialise Git Repository: "" + e, e);",0,1,0.5,12
87724435378bc5e35dccd647246890c68460d249,},0,1,0.5,13
87724435378bc5e35dccd647246890c68460d249,try {,0,1,0.5,14
87724435378bc5e35dccd647246890c68460d249,"getLog().warn(""Could not find BUILD_ID to create a specific jenkins build URL. So using: "" + jobUrl);",1,1,0.5,15
87724435378bc5e35dccd647246890c68460d249,"throw new MojoExecutionException(""Could not find resource `"" + resourceName + ""` on the classpath!"");",1,1,0.5,16
87724435378bc5e35dccd647246890c68460d249,"getLog().warn(""Cannot find gogs service URL: "" + cause, cause);",0,1,0.5,17
