commit_id,line,line_level_label,count,line_score,row
7508170498949818aed02ba0fd9b7f861e596320,"item = self.func(target_self, *args, **kwargs)",1,4,1.0,1
7508170498949818aed02ba0fd9b7f861e596320,kwargs = {'foo': 'bar'},1,4,1.0,2
7508170498949818aed02ba0fd9b7f861e596320,"key = (func_name,) + args",1,3,0.75,3
7508170498949818aed02ba0fd9b7f861e596320,"return self.func(target_self, *args, **kwargs)",1,3,0.75,4
7508170498949818aed02ba0fd9b7f861e596320,"return self._get_from_cache(target_self, *args, **kwargs)",1,3,0.75,5
7508170498949818aed02ba0fd9b7f861e596320,"args = (1, 2)",1,3,0.75,6
7508170498949818aed02ba0fd9b7f861e596320,"expected_key = (self.func_name, 1, 2, ('foo', 'bar'))",1,2,0.5,7
7508170498949818aed02ba0fd9b7f861e596320,"retval = self.decor.func([1], 2)",1,2,0.5,8
7508170498949818aed02ba0fd9b7f861e596320,"expected_key = (self.func_name, [1], 2)",1,2,0.5,9
7508170498949818aed02ba0fd9b7f861e596320,"retval = self.decor.func(*args, **kwargs)",1,2,0.5,10
7508170498949818aed02ba0fd9b7f861e596320,return item,1,2,0.5,11
7508170498949818aed02ba0fd9b7f861e596320,"item = target_self._cache.get(key, self._not_cached)",1,2,0.5,12
7508170498949818aed02ba0fd9b7f861e596320,self.func = func,1,2,0.5,13
7508170498949818aed02ba0fd9b7f861e596320,class TestCachingDecorator(base.BaseTestCase):,1,1,0.25,14
7508170498949818aed02ba0fd9b7f861e596320,"""cannot be cached for %(func_name)s."",",1,1,0.25,15
7508170498949818aed02ba0fd9b7f861e596320,self._first_call = False,1,1,0.25,16
7508170498949818aed02ba0fd9b7f861e596320,"return functools.partial(self.__call__, obj)",1,1,0.25,17
7508170498949818aed02ba0fd9b7f861e596320,class _CachingDecorator(object):,1,1,0.25,18
7508170498949818aed02ba0fd9b7f861e596320,self._cache = mock.Mock(),1,1,0.25,19
7508170498949818aed02ba0fd9b7f861e596320,"def func(self, *args, **kwargs):",1,1,0.25,20
7508170498949818aed02ba0fd9b7f861e596320,return self.func_retval,1,1,0.25,21
7508170498949818aed02ba0fd9b7f861e596320,self.decor._cache = False,1,1,0.25,22
7508170498949818aed02ba0fd9b7f861e596320,self.decor = _CachingDecorator(),1,1,0.25,23
7508170498949818aed02ba0fd9b7f861e596320,self.func_name = '%(module)s._CachingDecorator.func' % {,1,1,0.25,24
7508170498949818aed02ba0fd9b7f861e596320,self.not_cached = self.decor.func.func.__self__._not_cached,1,1,0.25,25
7508170498949818aed02ba0fd9b7f861e596320,self.decor._cache.get.return_value = self.not_cached,1,1,0.25,26
7508170498949818aed02ba0fd9b7f861e596320,self.decor._cache.get.side_effect = TypeError,1,1,0.25,27
