commit_id,line,line_level_label,count,line_score,row
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Add profiles in database if new profiles were created in VSM,1,8,1.0,1
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Delete profiles from database if profiles were deleted in VSM,1,7,0.875,2
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Retrieve all the policy profiles from the VSM when the plugin,1,6,0.75,3
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Delete and return the network profile if it is not in use.,1,5,0.625,4
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Update network profile if name is updated and the network profile,1,5,0.625,5
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Retrieve all policy profiles if tenant is admin. For a non-admin,1,5,0.625,6
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Fetch policy profiles from VSM,1,5,0.625,7
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Set the default policy profile id for ports if no id is set,1,5,0.625,8
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# client interacts with the VSM via HTTP. Since we don't have a VSM,1,5,0.625,9
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Fetch policy profiles previously populated,1,4,0.5,10
e0f69d69293f0ffba22a6540f483f05baa48cd6f,"xml = [""""""<?xml version=""1.0"" encoding=""utf-8""?>",1,4,0.5,11
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Extract policy profile for VM network create in VSM.,1,4,0.5,12
e0f69d69293f0ffba22a6540f483f05baa48cd6f,and router interface. Default policy profile name is configured in the,1,4,0.5,13
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Update database if the profile sets differ.,1,4,0.5,14
e0f69d69293f0ffba22a6540f483f05baa48cd6f,This will find all Profile ID where tenant is not set yet - set A,1,4,0.5,15
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Remove all policy profiles associated with fake tenant id.,1,4,0.5,16
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Retrieve all network profiles if tenant is admin. For a non-admin,1,4,0.5,17
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Update segment range if network profile is not in use.,1,4,0.5,18
e0f69d69293f0ffba22a6540f483f05baa48cd6f,db_session = db_session or db.get_session(),1,4,0.5,19
e0f69d69293f0ffba22a6540f483f05baa48cd6f,"""""""Test port create with policy profile id.""""""",1,3,0.375,20
e0f69d69293f0ffba22a6540f483f05baa48cd6f,if 'vm-network' in action and 'port' not in action:,1,3,0.375,21
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Generate policy profile response and return a dictionary.,1,3,0.375,22
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Generate policy profile response in XML format.,1,3,0.375,23
e0f69d69293f0ffba22a6540f483f05baa48cd6f,#    not use this file except in compliance with the License. You may obtain,1,3,0.375,24
e0f69d69293f0ffba22a6540f483f05baa48cd6f,:param name: string representing the name of the policy profile to,1,3,0.375,25
e0f69d69293f0ffba22a6540f483f05baa48cd6f,db_session = db.get_session(),1,3,0.375,26
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Update the RESOURCE_ATTRIBUTE_MAP with n1kv specific extended attrs.,1,3,0.375,27
e0f69d69293f0ffba22a6540f483f05baa48cd6f,"""""""Test rollback of profile binding if network profile create fails.""""""",1,3,0.375,28
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# network profile binding with creator tenant should always exist,1,3,0.375,29
e0f69d69293f0ffba22a6540f483f05baa48cd6f,pp = n1kv_db_v2.get_policy_profile(,1,3,0.375,30
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Test getting policy profiles using the restricted behavior.,1,3,0.375,31
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Port update should fail to update policy profile id.,1,3,0.375,32
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Patch the Client class with the TestClient class,1,3,0.375,33
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Return 3 policy profiles,1,3,0.375,34
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Verify that DB contains only 3 policy profiles,1,3,0.375,35
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Return 2 policy profiles,1,3,0.375,36
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Verify that the third policy profile is deleted,1,3,0.375,37
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Test unrestricted policy profile retrieval.,1,3,0.375,38
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Test getting policy profiles using the normal unrestricted,1,3,0.375,39
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Test restricted policy profile retrieval.,1,3,0.375,40
e0f69d69293f0ffba22a6540f483f05baa48cd6f,"# if needed, check to see if this is a port owned by",1,3,0.375,41
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Test with network auto-scheduling disabled,1,3,0.375,42
e0f69d69293f0ffba22a6540f483f05baa48cd6f,#    not use this file except in compliance with the License. You may obtain,1,3,0.375,43
e0f69d69293f0ffba22a6540f483f05baa48cd6f,profile = n1kv_db_v2.get_policy_profile(,1,3,0.375,44
e0f69d69293f0ffba22a6540f483f05baa48cd6f,if ('device_id' in port['port'] and port['port']['device_owner'] in,1,3,0.375,45
e0f69d69293f0ffba22a6540f483f05baa48cd6f,policy profile object. Values in this dictiontary are,1,3,0.375,46
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Set the network policy profile id for auto generated L3/DHCP ports,1,3,0.375,47
e0f69d69293f0ffba22a6540f483f05baa48cd6f,#    not use this file except in compliance with the License. You may obtain,1,3,0.375,48
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Retrieve a vm_network based on policy profile and network id.,1,3,0.375,49
e0f69d69293f0ffba22a6540f483f05baa48cd6f,policy profile. All ports having the same policy profile,1,3,0.375,50
e0f69d69293f0ffba22a6540f483f05baa48cd6f,"If profile type is None, return profile-tenant binding for all",1,3,0.375,51
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Default tenant-ids are populated in profile bindings when plugin is,1,3,0.375,52
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Check whether the network profile is in use.,1,3,0.375,53
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Return network profile if it is successfully updated.,1,3,0.375,54
e0f69d69293f0ffba22a6540f483f05baa48cd6f,name = profile.name,1,3,0.375,55
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Retrieve a policy profile for the given UUID.,1,3,0.375,56
e0f69d69293f0ffba22a6540f483f05baa48cd6f,"tenant, retrieve all policy profiles belonging to this tenant only.",1,3,0.375,57
e0f69d69293f0ffba22a6540f483f05baa48cd6f,db_session = db.get_session(),1,3,0.375,58
e0f69d69293f0ffba22a6540f483f05baa48cd6f,from the VSM. Hence we associate the policy profiles with fake,1,3,0.375,59
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Retrieve a list of profile bindings for policy profiles.,1,3,0.375,60
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Retrieve policy profile based on name.,1,3,0.375,61
e0f69d69293f0ffba22a6540f483f05baa48cd6f,:param name: string representing the name for the policy profile,1,3,0.375,62
e0f69d69293f0ffba22a6540f483f05baa48cd6f,and profiles where tenant was already set - set B,1,3,0.375,63
e0f69d69293f0ffba22a6540f483f05baa48cd6f,#    not use this file except in compliance with the License. You may obtain,1,3,0.375,64
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Consume from all consumers in threads,1,3,0.375,65
e0f69d69293f0ffba22a6540f483f05baa48cd6f,# Poll VSM for create/delete of policy profile.,1,3,0.375,66
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Populate all the policy profiles from VSM.,1,3,0.375,67
e0f69d69293f0ffba22a6540f483f05baa48cd6f,if segment1 in segment or segment2 in segment:,1,3,0.375,68
e0f69d69293f0ffba22a6540f483f05baa48cd6f,:returns: list of all policy profiles,1,3,0.375,69
e0f69d69293f0ffba22a6540f483f05baa48cd6f,Delete encapsulation profile if network is of type OVERLAY Trunk.,1,2,0.25,70
e0f69d69293f0ffba22a6540f483f05baa48cd6f,profile_name = (network['id'] +,1,2,0.25,71
e0f69d69293f0ffba22a6540f483f05baa48cd6f,profile = self.get_network_profile(,1,2,0.25,72
