commit_id,line,line_level_label,count,line_score,row
6f9408d7ac38d5c857e1e1cdd92c49e000742734,"#    Copyright (c) 2011 Citrix Systems, Inc.",1,6,1.0000000000000002,1
6f9408d7ac38d5c857e1e1cdd92c49e000742734,"#    distributed under the License is distributed on an ""AS IS"" BASIS, WITHOUT",1,6,1.0000000000000002,2
6f9408d7ac38d5c857e1e1cdd92c49e000742734,#    not use this file except in compliance with the License. You may obtain,1,5,0.8,3
6f9408d7ac38d5c857e1e1cdd92c49e000742734,:mod:`glance` -- Stubs for Glance,1,5,0.8,4
6f9408d7ac38d5c857e1e1cdd92c49e000742734,"#    Licensed under the Apache License, Version 2.0 (the ""License""); you may",1,4,0.6000000000000001,5
6f9408d7ac38d5c857e1e1cdd92c49e000742734,#    License for the specific language governing permissions and limitations,1,4,0.6000000000000001,6
6f9408d7ac38d5c857e1e1cdd92c49e000742734,#    under the License.,1,4,0.6000000000000001,7
6f9408d7ac38d5c857e1e1cdd92c49e000742734,#    a copy of the License at,1,3,0.4000000000000001,8
6f9408d7ac38d5c857e1e1cdd92c49e000742734,"#    WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the",1,2,0.2,9
6f9408d7ac38d5c857e1e1cdd92c49e000742734,#,1,1,0.0,10
6f9408d7ac38d5c857e1e1cdd92c49e000742734,#         http://www.apache.org/licenses/LICENSE-2.0,1,1,0.0,11
6f9408d7ac38d5c857e1e1cdd92c49e000742734,"#    Unless required by applicable law or agreed to in writing, software",1,1,0.0,12
6f9408d7ac38d5c857e1e1cdd92c49e000742734,"""""""",1,1,0.0,13
6f9408d7ac38d5c857e1e1cdd92c49e000742734,=================================,1,1,0.0,14
