commit_id,line,line_level_label,count,line_score,row
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,"Map<String, Object> map = new HashMap<>();",0,3,1.0,1
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,"Map<String, Object> map = new HashMap<String, Object>();",1,3,1.0,2
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,Integer value = new Integer(123);,1,2,0.6666666666666666,3
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,"""Expected [class java.lang.String] but actual type is [class java.lang.Integer]"");",0,1,0.3333333333333333,4
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,"map.put(""key2"", new Integer(123));",1,1,0.3333333333333333,5
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,@Test(expected = IllegalArgumentException.class),1,1,0.3333333333333333,6
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,public void testIdOverwritten() throws Exception {,1,1,0.3333333333333333,7
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,* Copyright 2002-2019 the original author or authors.,1,1,0.3333333333333333,8
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,import org.junit.Test;,1,1,0.3333333333333333,9
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,int value = 123;,0,1,0.3333333333333333,10
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,public void testIdOverwritten() {,0,1,0.3333333333333333,11
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,import org.junit.jupiter.api.Test;,0,1,0.3333333333333333,12
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,import static org.assertj.core.api.Assertions.assertThatIllegalArgumentException;,0,1,0.3333333333333333,13
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,* Copyright 2002-2020 the original author or authors.,0,1,0.3333333333333333,14
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,* @author Artem Bilan,0,0,0.0,15
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,@Test,0,0,0.0,16
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,assertThatIllegalArgumentException(),0,0,0.0,17
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,".isThrownBy(() -> headers.get(""test"", String.class))",0,0,0.0,18
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,.withMessageContaining(,0,0,0.0,19
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,"map.put(""key2"", 123);",0,0,0.0,20
55eb3ae05da3a71139f2b9883ebff7b23babbf7b,"assertThat(headers.get(""test"", String.class)).isEqualTo(value);",1,0,0.0,21
