commit_id,line,line_level_label,count,line_score,row
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,public void recycle();,1,3,1.0,1
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,public interface Handler<S> {,0,2,0.6666666666666666,2
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,void recycle();,0,2,0.6666666666666666,3
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,public static interface Handler<S> {,1,2,0.6666666666666666,4
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,public enum SocketState {,1,2,0.6666666666666666,5
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,public void release(SocketWrapperBase<S> socketWrapper);,1,2,0.6666666666666666,6
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,public void pause();,1,2,0.6666666666666666,7
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,enum SocketState {,0,1,0.3333333333333333,8
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,void release(SocketWrapperBase<S> socketWrapper);,0,1,0.3333333333333333,9
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,void pause();,0,1,0.3333333333333333,10
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,"BindState(boolean bound, boolean wasBound) {",0,1,0.3333333333333333,11
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,"public SocketState process(SocketWrapperBase<S> socket,",1,1,0.3333333333333333,12
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,public Object getGlobal();,1,1,0.3333333333333333,13
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,"private BindState(boolean bound, boolean wasBound) {",1,1,0.3333333333333333,14
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,"SocketState process(SocketWrapperBase<S> socket,",0,0,0.0,15
9d1f1211ecd24f39e6a1a90adf450c1c974da01a,Object getGlobal();,0,0,0.0,16
