line,commit_id,count,line_level_label
"+ ""<br><br>Would you like to relaunch Chrome and enable remote debugging?"";",da4c653d038801757cbdbde7a0524bdd53485d47,7,1
"+ ""<br /><br />Would you like to relaunch Chrome and enable remote debugging?"";",da4c653d038801757cbdbde7a0524bdd53485d47,6,0
"+ ""<br /><br />""",da4c653d038801757cbdbde7a0524bdd53485d47,1,0
"+ ""<br><br>""",da4c653d038801757cbdbde7a0524bdd53485d47,1,1
"""use strict"";",da4c653d038801757cbdbde7a0524bdd53485d47,0,0
'use strict';,da4c653d038801757cbdbde7a0524bdd53485d47,0,1
rightOffset = $(document.body).outerWidth() - (scrollerLeft + hostScroller.clientWidth);,efb505f64bb50d08b082c0bf7d85bdcea945c940,3,0
var rightOffset = $(document.body).outerWidth() - ($(hostScroller).offset().left + $(hostScroller).get(0).clientWidth);,efb505f64bb50d08b082c0bf7d85bdcea945c940,3,1
"scrollerBottom = scrollerTop + hostScroller.clientHeight,",efb505f64bb50d08b082c0bf7d85bdcea945c940,2,0
scrollerBottom = scrollerTop + hostScroller.clientHeight;,efb505f64bb50d08b082c0bf7d85bdcea945c940,2,1
this._relatedContainerInserted = false;,efb505f64bb50d08b082c0bf7d85bdcea945c940,1,0
this._relatedContainerInsertedHandler = this._relatedContainerInsertedHandler.bind(this);,efb505f64bb50d08b082c0bf7d85bdcea945c940,1,0
CSSInlineEditor.prototype._relatedContainerInsertedHandler = function () {,efb505f64bb50d08b082c0bf7d85bdcea945c940,1,0
this._relatedContainerInserted = true;,efb505f64bb50d08b082c0bf7d85bdcea945c940,1,0
"scrollerLeft = $(hostScroller).offset().left,",efb505f64bb50d08b082c0bf7d85bdcea945c940,1,0
// Constrain relatedContainer width to half of the scroller width,efb505f64bb50d08b082c0bf7d85bdcea945c940,1,0
var relatedContainerWidth = this.$relatedContainer.width();,efb505f64bb50d08b082c0bf7d85bdcea945c940,1,0
this._relatedContainerDefaultWidth = relatedContainerWidth;,efb505f64bb50d08b082c0bf7d85bdcea945c940,1,0
var halfWidth = hostScroller.clientWidth / 2;,efb505f64bb50d08b082c0bf7d85bdcea945c940,1,0
relatedContainerWidth = halfWidth;,efb505f64bb50d08b082c0bf7d85bdcea945c940,1,0
relatedContainerWidth = this._relatedContainerDefaultWidth;,efb505f64bb50d08b082c0bf7d85bdcea945c940,1,0
"this.$relatedContainer.css(""right"", rightOffset + ""px"");",efb505f64bb50d08b082c0bf7d85bdcea945c940,1,0
"hostScroller = hostEditor._codeMirror.getScrollerElement(),",efb505f64bb50d08b082c0bf7d85bdcea945c940,1,1
"this.$relatedContainer.css(""right"", rightOffset + ""px"");",efb505f64bb50d08b082c0bf7d85bdcea945c940,1,1
"this.$relatedContainer.on(""DOMNodeInserted"", this._relatedContainerInsertedHandler);",efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
// Listen to the window resize event to reposition the relatedContainer,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
// when the hostEditor's scrollbars visibility changes,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
"$(window).on(""resize"", this._updateRelatedContainer);",efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
"$(window).off(""resize"", this._updateRelatedContainer);",efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
};,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
/**,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
* @private,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
* Set _relatedContainerInserted flag once the $relatedContainer is inserted in the DOM.,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
*/,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
"this.$relatedContainer.off(""DOMNodeInserted"", this._relatedContainerInsertedHandler);",efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
if (this._relatedContainerInserted) {,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
if (this._relatedContainerDefaultWidth === undefined) {,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
},efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
if (this._relatedContainerDefaultWidth >= halfWidth) {,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
} else {,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
this.$relatedContainer.width(Math.floor(relatedContainerWidth));,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
// Position immediately to the left of the main editor's scrollbar.,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,0
// Position immediately to the left of the main editor's scrollbar.,efb505f64bb50d08b082c0bf7d85bdcea945c940,0,1
"// If widget has focus, return it to the hostEditor & move the cursor to where the inline used to be",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,6,0
// Check if the widget is attached to the host editor,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,5,0
"function closeInlineWidget(hostEditor, inlineWidget, moveFocus) {",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,4,1
// Callback to widget once parented to the editor,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,4,0
// FIXME (issue #2491): widget height is not set initially if widget is outside viewport,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,4,1
"* Given a host editor, return a list of all Editors in all its open inline widgets. (Ignoring",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,3,0
".append('<div class=""shadow bottom""/>');",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,3,1
"function closeInlineWidget(hostEditor, inlineWidget) {",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,3,0
"* Returns the focused Editor within an inline text editor, or null if something else has focus",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,3,0
"result = { widget: widget, editor: editor };",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,3,1
"* Given a host editor, return a list of all its open inline Editors. (Ignoring any other",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
"this.$htmlContent.append('<div class=""shadow top""/>')",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
if (inlineWidget.hasFocus()) {,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,0
"* Returns the currently focused inline widget, if any.",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,0
if (widget.hasFocus()) {,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,0
if (focusedWidget instanceof InlineTextEditor) {,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,0
var inlineWidget = getFocusedInlineWidget();,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,0
if (moveFocus) {,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
if (widget instanceof InlineTextEditor) {,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
widget.editors.forEach(function (editor) {,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
if (editor.hasFocus()) {,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
if (focusedInline) {,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
"var inlineWidget = null,",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
if (focusedWidgetResult) {,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
inlineWidget = focusedWidgetResult.widget;,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
// verify cursor position & focus in inline editor,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,0
// verify cursor position in inline editor,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
"node = inlineWidget.htmlContent,",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,0
if (!inlineWidget.info) {,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,0
// position if the widget is above the viewport.,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,0
window.setTimeout(function () {,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,0
"var offset = $(node).offset(), // offset relative to document",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,0
// Use scrollLineIntoView=true to force widget into viewport.,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
if (scrollLineIntoView) {,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
// FIXME (issue #2491): Scroll the line into view again if the,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
// height of the widget forces the line out of view,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
"var node = inlineWidget.htmlContent,",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
"var offset = $(node).offset(), // offset relative to document",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,2,1
* any other inline widgets that might be open but don't contain Editors).,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,0
inlineEditors = inlineEditors.concat(widget.editors);,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,0
* inline widgets that might be open).,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,1
result = widget;,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,0
var focusedWidget = getFocusedInlineWidget();,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,0
* Returns the currently focused inline widget.,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,1
var focusedInline = getFocusedInlineWidget();,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,1
focusedWidgetResult = getFocusedInlineWidget();,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,1
// verify full editor cursor & focus restored,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,0
"EditorManager.closeInlineWidget(hostEditor, inlineWidget, true);",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,1
// verify full editor cursor restored,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,1
"var self = this,",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,0
"position = $(node).position(), // position within parent linespace",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,0
scrollerTop = self.getVirtualScrollAreaTop();,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,0
"top: offset.top - scrollerTop,",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,0
"right: position.left, // don't try to make the right edge visible",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,0
bottom: offset.top + height - scrollerTop,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,0
"position = $(node).position(), // position within parent linespace",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,1
scrollerTop = this.getVirtualScrollAreaTop();,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,1
"top: offset.top - scrollerTop,",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,1
"right: position.left, // don't try to make the right edge visible",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,1
bottom: offset.top + height - scrollerTop,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,1,1
inlineEditors.concat(widget.editors);,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,1
"""use strict"";",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
"this.$htmlContent.append(""<div class='shadow top' />"")",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
".append(""<div class='shadow bottom' />"");",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
'use strict';,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,1
* @return {?InlineWidget},3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
/**,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
* @return {?Editor},3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
*/,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
return focusedWidget.getFocusedEditor();,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
* @returns {?Editor},3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
"* @param {!boolean} moveFocus  If true, focuses hostEditor and ensures the cursor position lies",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,1
*      near the inline's location.,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,1
"* @returns {?{widget:!InlineTextEditor, editor:!Editor}}",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,1
},3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,1
});,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,1
return focusedInline.editor;,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,1
* @returns {Editor},3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,1
expect(inlineWidget.hasFocus()).toEqual(true);,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
expect(hostEditor.hasFocus()).toEqual(false);,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
"EditorManager.closeInlineWidget(hostEditor, inlineWidget);",3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
expect(hostEditor.hasFocus()).toEqual(true);,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
inlineWidget.onAdded();,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
return;,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
},3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
// notify CodeMirror for the height change,3b319c93a48e52fb2dcefd8271753e9cb7459bf0,0,0
