line,commit_id,count,line_level_label
var data = pkg && pkg._data || pkg,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,5,1
", pkg = {}",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,4,1
", deps = data.dependencies || {}",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,3,0
pkg._data = data,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,3,1
", readInstalled = require(""./utils/read-installed"")",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,2,0
", semver = require(""./utils/semver"")",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,2,0
", depNames = Array.isArray(deps) ? deps : Object.keys(deps)",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,2,0
var o = {},1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,2,0
", pkgDir = path.join(npm.dir, data.name, data.version, ""package"")",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,2,1
", [readAndLink, jsonFile, folder]",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,0
", ""-1-LINK-""+(",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,0
", doLink(folder, cb)",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,0
"var pkgDir = path.join(npm.dir, data.name, data.version, ""package"")",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,0
"deps.forEach(function (d) { o[d] = ""*"" })",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,0
deps = o,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,0
"var satis = semver.maxSatisfying(Object.keys(inst[d]), deps[d])",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,0
var depsNeeded = Object.keys(deps).map(function (d) {,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,0
", [ require(""./utils/link""), folder, pkgDir ]",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,0
", [ npm.commands, ""build"", [data] ]",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,0
", function (er) {",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,0
"var rb = depsNeeded.concat([data.name+""@""+data.version])",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,0
", function (cb) { readJson",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,1
", ""-1-LINK-""+(",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,1
", function (er, data) {",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,1
", function (cb) {",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,1
", [npm.commands, ""build"", [pkg]]",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,1,1
"function readAndLink (jsonFile, folder, cb) {",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
readJson,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
( jsonFile,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
"crypto.createHash(""sha1"").update(folder).digest(""hex"").substr(0,8)",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
),1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
},1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
"function doLink (folder, cb) { return function (er, data) {",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
if (er) return cb(er),1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
"log(data.name+"" ""+data.version, ""link"")",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
if (Array.isArray(deps)) {,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
// skip any that are installed,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
"readInstalled(depNames, function (er, inst) {",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
"if (er) return log.er(cb, ""Couldn't read installed packages"")(er)",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
for (var d in inst) {,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
if (satis) delete deps[d],1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
"return d+""@""+deps[d]",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
}),1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
"log(depsNeeded, ""link install deps"")",1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
chain,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,0,0
