line,commit_id,count,line_level_label
private Trigger trigger = new PeriodicTrigger(10);,3d6969a8370862494ea29ad677ee254d23efb689,4,0
private Trigger trigger = new PeriodicTrigger(10);,3d6969a8370862494ea29ad677ee254d23efb689,4,1
public void run() {,3d6969a8370862494ea29ad677ee254d23efb689,3,1
private ClassLoader beanClassLoader = ClassUtils.getDefaultClassLoader();,3d6969a8370862494ea29ad677ee254d23efb689,2,0
private long maxMessagesPerPoll = -1;,3d6969a8370862494ea29ad677ee254d23efb689,2,0
private volatile Callable<Message<?>> pollingTask;,3d6969a8370862494ea29ad677ee254d23efb689,2,0
private volatile Flux<Message<?>> pollingFlux;,3d6969a8370862494ea29ad677ee254d23efb689,2,0
private volatile Subscription subscription;,3d6969a8370862494ea29ad677ee254d23efb689,2,0
private volatile ScheduledFuture<?> runningTask;,3d6969a8370862494ea29ad677ee254d23efb689,2,0
protected void doStart() {,3d6969a8370862494ea29ad677ee254d23efb689,2,0
private Callable<Message<?>> createPollingTask() {,3d6969a8370862494ea29ad677ee254d23efb689,2,0
private Runnable createPoller() {,3d6969a8370862494ea29ad677ee254d23efb689,2,0
private Flux<Message<?>> createFluxGenerator() {,3d6969a8370862494ea29ad677ee254d23efb689,2,0
private Message<?> pollForMessage() {,3d6969a8370862494ea29ad677ee254d23efb689,2,0
private Message<?> doPoll() {,3d6969a8370862494ea29ad677ee254d23efb689,2,0
protected void doStop() {,3d6969a8370862494ea29ad677ee254d23efb689,2,0
private ClassLoader beanClassLoader = ClassUtils.getDefaultClassLoader();,3d6969a8370862494ea29ad677ee254d23efb689,2,1
private long maxMessagesPerPoll = -1;,3d6969a8370862494ea29ad677ee254d23efb689,2,1
private volatile ScheduledFuture<?> runningTask;,3d6969a8370862494ea29ad677ee254d23efb689,2,1
private volatile Runnable poller;,3d6969a8370862494ea29ad677ee254d23efb689,2,1
private Runnable createPoller() throws Exception {,3d6969a8370862494ea29ad677ee254d23efb689,2,1
protected void doStart() {,3d6969a8370862494ea29ad677ee254d23efb689,2,1
protected void doStop() {,3d6969a8370862494ea29ad677ee254d23efb689,2,1
private boolean doPoll() {,3d6969a8370862494ea29ad677ee254d23efb689,2,1
private final class Poller implements Runnable {,3d6969a8370862494ea29ad677ee254d23efb689,2,1
private TransactionSynchronizationFactory transactionSynchronizationFactory;,3d6969a8370862494ea29ad677ee254d23efb689,1,0
protected boolean isReactive() {,3d6969a8370862494ea29ad677ee254d23efb689,1,0
},3d6969a8370862494ea29ad677ee254d23efb689,1,0
protected Flux<Message<?>> getPollingFlux() {,3d6969a8370862494ea29ad677ee254d23efb689,1,0
// LifecycleSupport implementation,3d6969a8370862494ea29ad677ee254d23efb689,1,0
@Override // guarded by super#lifecycleLock,3d6969a8370862494ea29ad677ee254d23efb689,1,0
if (!this.initialized) {,3d6969a8370862494ea29ad677ee254d23efb689,1,0
this.pollingTask = createPollingTask();,3d6969a8370862494ea29ad677ee254d23efb689,1,0
if (isReactive()) {,3d6969a8370862494ea29ad677ee254d23efb689,1,0
this.pollingFlux = createFluxGenerator();,3d6969a8370862494ea29ad677ee254d23efb689,1,0
else {,3d6969a8370862494ea29ad677ee254d23efb689,1,0
this.runningTask =,3d6969a8370862494ea29ad677ee254d23efb689,1,0
