fix_commit_hash,commit_hash,change_type,is_buggy_line,code_change_remove_common_tokens
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,"public static final String EXTRACONFIGLOCATIONSKEY = ""extra.config.locations"";"
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,"addContextFile(contextType, items, temp);"
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,String extraConfigFiles = System.getProperty(EXTRACONFIGLOCATIONSKEY);
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,if (extraConfigFiles != null) {
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,"String[] files = extraConfigFiles.split("" "");"
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,for (String file : files) {
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,"addContextFile(contextType, items, file);"
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,}
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,"private static void addContextFile(int contextType, ArrayList<String> items, String temp) {"
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,"if (!temp.startsWith(""#"") && temp.trim().length() > 0 && StandardConfigLocations.class.getClassLoader().getResource(temp.trim()) != null) {"
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,if (
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,contextType == ALLCONTEXTTYPE  ||
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,"((contextType == WEBCONTEXTTYPE || contextType == APPCONTEXTTYPE) && temp.indexOf(""-web-"") >= 0) ||"
80ab7212bae83bde2ab6c071a8a76836118e5a8f,609e7bdabe2fa10a90b5bbefc4c221a23ebc4513,added,0,"((contextType == SERVICECONTEXTTYPE || contextType == TESTCONTEXTTYPE || contextType == APPCONTEXTTYPE) && temp.indexOf(""-web-"") < 0 && temp.indexOf(""-test"") < 0) ||"
