commit_id,date,message
63b1b1199414229045763d9563d2a64f9cfa0abf,2012-02-20 16:13:16+01:00,[FABRICPRV-115] Deprecate FabricService#deleteProfile
e2af4162c64aeda031e6b006f6cb1b5b51bb1ffb,2012-03-15 13:56:41-02:18,Updated to build set #36
1a1b3d13e327e95404923a9bc9a7cd0933bb34d9,2012-05-21 11:32:16-04:00,"Remove 2nd declaration of the pom version, using the parent pom version is sufficent and reduces the # of places where a merge conflict can occur when merging branches."
37937e16372c9d2ca3fbbfefa9d3a8fc2ca0c3c8,2012-06-07 01:41:33-07:00,"Merge pull request #5 from markbrooks/master

Fixed typo in warning message: changed ""listerns"" to ""listeners"""
848b1dbdcddab3474b2836650eaecc4f026ad6e5,2012-06-07 10:57:26+02:00,"Merge pull request #5 from markbrooks/master

Fixed typo in warning message: changed ""listerns"" to ""listeners"""
dbd82b4711d02e63e664f261bbe4224caf3cb468,2012-10-16 10:58:29+02:00,"[FABRIC-281] Secure Zookeeper
Part #1: internalize ACLs access into the zookeeper client"
72458237945dc71c5e97727e560e191f0a81365f,2013-02-11 03:38:33-08:00,"Merge pull request #8 from scranton/mq-create-patch

added options to mq-create command to specify username and password for network connector"
10891a61dcc789e2823868dc473c9af799120e61,2013-03-27 01:20:40-07:00,"Merge pull request #10 from vaskoz/master

Bad parent POM version in camel-web-osgi-archetype was breaking the build.
Thanks for the patch, Vasko!"
285bbcf0057038a651feab81aa5eae76b0d06137,2013-04-04 17:08:04+02:00,Use Version#getId() instead of Version#getName()
dff39370129eb3830794a6ca7f4a3a0f1749242f,2013-04-29 22:16:47-07:00,"Merge pull request #11 from vaskoz/droolsArchetype

camel-drools-archetype structure should match the other archetype-builde..."
1b39e00adbb0e0801c1cde44e4962dc7e19e3705,2013-04-29 22:20:21-07:00,"Merge pull request #12 from vaskoz/camelWebserviceArchetype

The newly added camel-webservice-example should also have a similar arch..."
706987989a7e4bc63bf3227e39a602cb396b33e7,2013-05-20 20:25:37-07:00,"Merge pull request #16 from stevenpost/telnet-fix

Don't use sudo for a simple echo."
cbfe191aedb4f320637d95c0ed6fdeb1fa883d5e,2013-05-24 00:16:46-07:00,"Merge pull request #17 from marvec/insight-log-jboss

added ability to log messages from outside the mbean"
4d37b4b6d23b712adc987d3dfda2b821e0b65d2c,2013-06-06 08:45:40+02:00,Possible fix for #22 NPE in git bridge
6f6111b0867405f7b7adf3d2b897c36182eaf63a,2013-06-07 17:06:48+03:00,#23 add NPE guards on unbinding methods of TaskManagerFactory.
401e041061b943e3fd39cfac0f50a3fdbfd8b46c,2013-06-14 00:25:18+02:00,#25 Add a new group implementation based on curator
5b6cb6a5af0e11e2f5bb54ae7c99201544543b0e,2013-06-14 00:25:18+02:00,#25 Switch elastic search to the new group implementation
