commit_id,date,message
9c6ab1bc280ef0947528c948db7f113cbfa8a1ab,2011-06-24 15:21:56+01:00,Fixing bug #798261
1cb59504db2735f6f56892d76b50d64cd45de8b3,2011-06-27 14:09:52+01:00,Fixing bug #798262
5d23ba259811c2f05d3fcb1296051b003bcf4ef3,2011-06-27 16:34:28-07:00,"Merging dan wendlandt's bugfixes for Bug #800466 and improvements that enable Quantum to seamlessly
run on KVM!


removed:
  quantum/plugins/openvswitch/agent/set_external_ids.sh
added:
  tools/batch_config.py
renamed:
  quantum/plugins/openvswitch/agent/install.sh => quantum/plugins/openvswitch/agent/xenserver_install.sh
modified:
  quantum/cli.py
  quantum/db/api.py
  quantum/plugins/openvswitch/README
  quantum/plugins/openvswitch/agent/ovs_quantum_agent.py
  quantum/plugins/openvswitch/ovs_db.py
  quantum/plugins/openvswitch/ovs_models.py
  quantum/plugins/openvswitch/ovs_quantum_plugin.ini
  quantum/plugins/openvswitch/ovs_quantum_plugin.py
pending merges:
  Dan Wendlandt 2011-06-27 fix pep8 introduced by trunk merge
    Dan Wendlandt 2011-06-27 [merge] merge
    Dan Wendlandt 2011-06-27 more pep8 goodness
    Dan Wendlandt 2011-06-25 refactor batch_config, allow multiple attaches with the empty string
    Dan Wendlandt 2011-06-21 [merge] merge and pep8 cleanup
    Dan Wendlandt 2011-06-21 add example to usage string for batch_config.py
    Dan Wendlandt 2011-06-21 Bug fixes and clean-up, including supporting libvirt"
76a71fc1de50540d01ccddfc50a172e3321abab4,2011-07-09 00:34:49+01:00,"Applying fix for bug #804237
from branch lp:~salvatore-orlando/quantum/bug804237"
3c009cbe75df9f5fdefbef98971dad00d45c7810,2011-07-22 08:04:35+01:00,"Merging branch lp:~salvatore-orlando/quantum/bug802892
Fixing bug #802892"
9793971bc2b6b2346fbf70aa5a57d490368c3c53,2011-07-22 13:13:48+01:00,"Apply fix for bug #797419
merging lp:~salvatore-orlando/quantum/bug797419"
2299a05c105d2e60f4ff7cb107a72f096ac6eede,2011-07-29 17:36:35+01:00,"Apply fix for bug #814517
merging lp:~tylesmit/quantum/quantum-bug-814517"
602beba9bb81e9c44a3b497049aeb965ac546862,2011-07-29 17:39:12+01:00,"Apply fix for bug #814012
Merging lp:~danwent/quantum/bug814012"
431d319c26c7b3907e14e325aa36228843301617,2011-07-29 17:41:37+01:00,"Apply fix for bug #817813
Merging lp:~danwent/quantum/bug817813"
4f50b13b36e083a0b0c01fed74f7ac68ca6b52a7,2011-08-03 15:45:48+01:00,"Applying fix for bug #814518
Merging from lp:~salvatore-orlando/quantum/bug814518"
5c9789307948bb9af2dce8ed7ef09e2b60fca006,2011-08-08 17:35:16-07:00,"Merging changes addressing Bug # 802772. Thanks lp:danwent !

Description of change:

combining with other work to make the tests run green, this cleans up the tests for the OVS plugin"
2a89b0996d24decb9488a0ccd40ab7d275a2dba2,2011-08-10 15:47:11-04:00,lp Bug#824145 : Adding a setup script for quantum.
f3627a2fd74edd7bd485c00636352f26975edabc,2011-08-17 23:04:00+01:00,"Merging lp:~asomya/quantum/lp824145
Fix for Bug#824145 : Adding a setup script for quantum"
b4ce107e8cb241a7e05c79793a7b8ebf675461f5,2011-08-22 15:16:24+01:00,"Merging lp:~raxnetworking/quantum/bug827272

Fix for bug #827272 - collection actions for PUT and DELETE methods on resource extension routes ..."
5effeb7d2402ed432a6a6cd285607b301e52a4e3,2011-08-24 21:03:10+01:00,"Merging lp:~asomya/quantum/lp833163
Fix for Bug #833163: Pep8 violations in recent packaging changes that were merged into trunk (Critical)


Thanks Arvind!"
d5086c8b7985087847e762127a3b835ad4ca0c33,2011-08-25 10:43:36+01:00,"Merging lp:~salvatore-orlando/quantum/quantum-api-alignment

Bug #813433: Align API implementation with specifcation (Critical)
Bug #821628: Getting network details is failing 	(Undecided)
Bug #823841: Remove constraint on network names 	(Medium)
Blueprint: Quantum API v1.0 Implementation (Essential)"
f1b68c543408c7ce67dc8275be4841344ca77a12,2011-08-26 10:21:05+01:00,"Merging lp:~danwent/quantum/lp834491
Fixing Bug #834491: api alignment merge broke ovs plugin 	(Critical)"
b3263d371b65682a0a49aa58123927eddd70c96d,2011-08-30 17:30:15+01:00,"Merging lp:~salvatore-orlando/quantum/bug834449

Fix for Bug #834449"
