fix_commit_hash,commit_hash,change_type,is_buggy_line,code_change_remove_common_tokens
2e990c354f49e505db04c4c415d1e6441c1cb17a,0f09adfad135eded197988c0acb681f6e635188c,added,0,merged[p].versions[v] = merged[p].versions[v] || {}
2e990c354f49e505db04c4c415d1e6441c1cb17a,0f09adfad135eded197988c0acb681f6e635188c,deleted,1,merged[p].versions[v] = merged[p][v] || {}
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,", readInstalled = require(""./utils/read-installed"")"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,", semver = require(""./utils/semver"")"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,", [readAndLink, jsonFile, folder]"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"function readAndLink (jsonFile, folder, cb) {"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,readJson
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,( jsonFile
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,", ""-1-LINK-""+("
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"crypto.createHash(""sha1"").update(folder).digest(""hex"").substr(0,8)"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,)
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,", doLink(folder, cb)"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,}
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"function doLink (folder, cb) { return function (er, data) {"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,if (er) return cb(er)
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"log(data.name+"" ""+data.version, ""link"")"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"var pkgDir = path.join(npm.dir, data.name, data.version, ""package"")"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,", deps = data.dependencies || {}"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,", depNames = Array.isArray(deps) ? deps : Object.keys(deps)"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,if (Array.isArray(deps)) {
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,var o = {}
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"deps.forEach(function (d) { o[d] = ""*"" })"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,deps = o
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,// skip any that are installed
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"readInstalled(depNames, function (er, inst) {"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"if (er) return log.er(cb, ""Couldn't read installed packages"")(er)"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,for (var d in inst) {
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"var satis = semver.maxSatisfying(Object.keys(inst[d]), deps[d])"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,if (satis) delete deps[d]
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,var depsNeeded = Object.keys(deps).map(function (d) {
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"return d+""@""+deps[d]"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,})
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"log(depsNeeded, ""link install deps"")"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,chain
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"( [ npm.commands, ""install"", depsNeeded.slice(0) ]"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,", [ require(""./utils/link""), folder, pkgDir ]"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,", [ npm.commands, ""build"", [data] ]"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,", function (er) {"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,if (!er) return cb()
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"// error, rollback"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"log(er, ""error linking, rollback"")"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"var rb = depsNeeded.concat([data.name+""@""+data.version])"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"npm.commands.rm(rb, function (er_) {"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,"if (er_) log(er_, ""error rolling back"")"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,cb(er)
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,added,0,}}
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,", pkg = {}"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,", function (cb) { readJson"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,( jsonFile
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,", ""-1-LINK-""+("
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,"crypto.createHash(""sha1"").update(folder).digest(""hex"").substr(0,8)"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,)
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,", function (er, data) {"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,if (er) return cb(er)
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,"log(data.name+"" ""+data.version, ""link"")"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,pkg._data = data
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,cb()
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,}
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,", function (cb) {"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,var data = pkg && pkg._data || pkg
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,", pkgDir = path.join(npm.dir, data.name, data.version, ""package"")"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,"require(""./utils/link"")(folder, pkgDir, cb)"
b205a226e36ffcf47408cc4784061baaef867772,48106360d2f4de074947d27dde6d3d3115909e6c,deleted,1,", [npm.commands, ""build"", [pkg]]"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,", readInstalled = require(""./utils/read-installed"")"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,", semver = require(""./utils/semver"")"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,", [readAndLink, jsonFile, folder]"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"function readAndLink (jsonFile, folder, cb) {"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,readJson
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,( jsonFile
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,", ""-1-LINK-""+("
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"crypto.createHash(""sha1"").update(folder).digest(""hex"").substr(0,8)"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,)
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,", doLink(folder, cb)"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,}
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"function doLink (folder, cb) { return function (er, data) {"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,if (er) return cb(er)
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"log(data.name+"" ""+data.version, ""link"")"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"var pkgDir = path.join(npm.dir, data.name, data.version, ""package"")"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,", deps = data.dependencies || {}"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,", depNames = Array.isArray(deps) ? deps : Object.keys(deps)"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,if (Array.isArray(deps)) {
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,var o = {}
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"deps.forEach(function (d) { o[d] = ""*"" })"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,deps = o
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,// skip any that are installed
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"readInstalled(depNames, function (er, inst) {"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"if (er) return log.er(cb, ""Couldn't read installed packages"")(er)"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,for (var d in inst) {
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"var satis = semver.maxSatisfying(Object.keys(inst[d]), deps[d])"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,if (satis) delete deps[d]
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,var depsNeeded = Object.keys(deps).map(function (d) {
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"return d+""@""+deps[d]"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,})
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"log(depsNeeded, ""link install deps"")"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,chain
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"( [ npm.commands, ""install"", depsNeeded.slice(0) ]"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,", [ require(""./utils/link""), folder, pkgDir ]"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,", [ npm.commands, ""build"", [data] ]"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,", function (er) {"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,if (!er) return cb()
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"// error, rollback"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"log(er, ""error linking, rollback"")"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"var rb = depsNeeded.concat([data.name+""@""+data.version])"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"npm.commands.rm(rb, function (er_) {"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,"if (er_) log(er_, ""error rolling back"")"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,cb(er)
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,added,0,}}
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,deleted,1,", pkg = {}"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,deleted,1,", function (cb) { readJson"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,deleted,1,( jsonFile
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,deleted,1,", ""-1-LINK-""+("
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,deleted,1,"crypto.createHash(""sha1"").update(folder).digest(""hex"").substr(0,8)"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,deleted,1,)
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,deleted,1,", function (er, data) {"
b205a226e36ffcf47408cc4784061baaef867772,1a0fb065b6a28ce54e6c4960c884972d1aaa2ea0,deleted,1,if (er) return cb(er)
