"fix_commit_hash","commit_hash","change_type","is_buggy_line","code_change_remove_common_tokens"
"b85ed0fe279daee8322a6f9a4342af0938596422","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","added",0,"import java.io.*;"
"b85ed0fe279daee8322a6f9a4342af0938596422","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","added",0,"FileOutputStream fileOutputStream = new FileOutputStream(accessTokenCreds);"
"b85ed0fe279daee8322a6f9a4342af0938596422","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","added",0,"props.store(fileOutputStream, ""oauth-access-token"");"
"b85ed0fe279daee8322a6f9a4342af0938596422","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","added",0,"IOUtils.closeQuietly(fileOutputStream);"
"b85ed0fe279daee8322a6f9a4342af0938596422","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","deleted",1,"import java.io.BufferedReader;"
"b85ed0fe279daee8322a6f9a4342af0938596422","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","deleted",1,"import java.io.File;"
"b85ed0fe279daee8322a6f9a4342af0938596422","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","deleted",1,"import java.io.FileWriter;"
"b85ed0fe279daee8322a6f9a4342af0938596422","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","deleted",1,"import java.io.InputStreamReader;"
"b85ed0fe279daee8322a6f9a4342af0938596422","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","deleted",1,"FileWriter writer = new FileWriter(accessTokenCreds);"
"b85ed0fe279daee8322a6f9a4342af0938596422","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","deleted",1,"props.store(writer, ""oauth-access-token"");"
"b85ed0fe279daee8322a6f9a4342af0938596422","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","deleted",1,"IOUtils.closeQuietly(writer);"
"245ae1d5fad32653c997774925207ea97ebec5d4","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","added",0,"import org.junit.Before;"
"245ae1d5fad32653c997774925207ea97ebec5d4","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","added",0,"*"
"245ae1d5fad32653c997774925207ea97ebec5d4","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","added",0,"* @author Josh Long"
"245ae1d5fad32653c997774925207ea97ebec5d4","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","added",0,"@Before"
"245ae1d5fad32653c997774925207ea97ebec5d4","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","deleted",1,"import javax.annotation.PostConstruct;"
"245ae1d5fad32653c997774925207ea97ebec5d4","126fa35e2bf8a6dba7c71492b2dca9a1d400d3af","deleted",1,"@PostConstruct"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","added",0,"public String getChannelName(Method method) {"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","added",0,"String channelName = this.getAnnotationValue(method, this.channelAttributeName, String.class);"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","added",0,"if (channelName == null) {"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","added",0,"channelName = this.getAnnotationValue(method.getDeclaringClass(), this.channelAttributeName, String.class);"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","added",0,"}"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","added",0,"return (StringUtils.hasText(channelName) ? channelName : null);"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","added",0,": ""#"" + ExpressionSource.RETURN_VALUE_VARIABLE_NAME;"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","added",0,"payloadExpression = ""#"" + ExpressionSource.ARGUMENT_MAP_VARIABLE_NAME + ""["" + i + ""]"";"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","added",0,"headerExpressions.put(name, ""#"" + ExpressionSource.ARGUMENT_MAP_VARIABLE_NAME + ""['"" + i + ""']"");"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,": ""#"" + this.getReturnValueVariableName(method);"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"payloadExpression = ""#"" + this.getArgumentMapVariableName(method) + ""["" + i + ""]"";"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"headerExpressions.put(name, ""#"" + this.getArgumentMapVariableName(method) + ""['"" + i + ""']"");"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"public String getMethodNameVariableName(Method method) {"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"ExpressionBinding annotation = AnnotationUtils.findAnnotation(method, ExpressionBinding.class);"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"if (annotation != null) {"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"return annotation.methodNameVariableName();"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"}"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"return ExpressionSource.DEFAULT_METHOD_NAME_VARIABLE_NAME;"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"public String[] getArgumentVariableNames(Method method) {"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"String argNameList = annotation.argumentVariableNames();"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"if (StringUtils.hasText(argNameList)) {"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"return StringUtils.tokenizeToStringArray(argNameList, "","");"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"return this.parameterNameDiscoverer.getParameterNames(method);"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"public String getArgumentMapVariableName(Method method) {"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"return annotation.argumentMapVariableName();"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"return ExpressionSource.DEFAULT_ARGUMENT_MAP_VARIABLE_NAME;"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"public String getReturnValueVariableName(Method method) {"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"return annotation.returnValueVariableName();"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"return ExpressionSource.DEFAULT_RETURN_VALUE_VARIABLE_NAME;"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"public String getExceptionVariableName(Method method) {"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"return annotation.exceptionVariableName();"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"return ExpressionSource.DEFAULT_EXCEPTION_VARIABLE_NAME;"
"5c7f97f1015cc67e6b8ee71177ae1b877482e832","929e14a32067752087a8c7ff1e0898a95502d0b2","deleted",1,"public String getChannelName(Method method) {"
